state,abortion_status,total_community_health_centers,uninsured,insured,maternal_mortality,population,no_doctor_visits,mammogram,no_provider,pap_smear,prescription_contraception,otc_methods,male_sterilization,female_sterilization,cost_sharing,teen_births,poverty_under_200
North Carolina,Abortion Available,39,397100,2834000,62.53747965,10139700,0.12,0.75,0.14,0.75,Yes,No,No,No,No,17.3,0.315
North Dakota,"State abortion ban/restriction not yet implemented, abortion currently available",4,17900,194600,69.58942241,731000,0.07,0.75,0.19,0.66,No,No,No,No,No,13.7,0.273
Ohio,6 week LMP ban currently in effect,51,241800,3112000,65.79405686,11351500,0.09,0.72,0.13,0.71,No,No,No,No,No,17.6,0.302
Oklahoma,Abortion Ban In Effect,21,241200,894600,75.59372572,3826900,0.15,0.68,0.16,0.67,No,No,No,No,No,25.0,0.366
Oregon,Abortion Available,30,62600,1198300,45.20341537,4128900,0.11,0.72,0.14,0.72,Yes,Yes,Yes,Yes,Yes,10.1,0.248
Pennsylvania,Abortion Available,42,230100,3525600,45.90911525,12377600,0.08,0.74,0.09,0.74,No,No,No,No,No,12.6,0.241
Rhode Island,Abortion Available,8,12700,313100,49.5000495,1017100,0.07,0.81,0.08,0.78,Yes,No,No,No,No,9.4,0.238
South Carolina,6 week LMP ban currently in effect,23,186400,1344400,87.96495763,4984200,0.12,0.76,0.14,0.71,No,No,No,No,No,19.3,0.29
South Dakota,Abortion Ban In Effect,4,24400,214800,63.86861314,851300,0.07,0.75,0.13,0.7,No,No,No,No,No,18.7,0.247
Tennessee,6 week LMP ban currently in effect,29,283100,1785700,105.4785294,6640900,0.12,0.73,0.14,0.72,No,No,No,No,No,23.3,0.327
Texas,Abortion Ban In Effect,72,1929400,6797900,69.800918,28286200,0.17,0.69,0.25,0.7,No,No,No,No,No,22.4,0.315
Utah,"Abortion ban temporarily blocked, abortion available",13,108800,823200,37.19749683,3154100,0.1,0.64,0.17,0.64,No,No,No,No,No,10.8,0.201
Vermont,Abortion Available,11,5600,170700,19.48178453,598100,0.07,0.68,0.08,0.7,Yes,No,Yes,Yes,Yes,7.0,0.224
Virginia,Abortion Available,26,211200,2499200,68.60230715,8185100,0.1,0.75,0.15,0.75,Yes,No,No,Yes,Yes,13.1,0.207
Washington,Abortion Available,27,203300,2165900,62.58575452,7423900,0.09,0.68,0.16,0.68,Yes,Yes,Yes,Yes,Yes,11.3,0.206
West Virginia,"Abortion ban temporarily blocked, abortion available",28,31100,467000,69.27206604,1739000,0.1,0.74,0.11,0.72,Yes,No,No,No,No,22.5,0.333
Wisconsin,Status of pre-Roe ban unclear,16,105600,1677500,28.05558306,5677100,0.08,0.75,0.09,0.72,Yes,No,No,No,No,11.5,0.219
Wyoming,"Abortion ban temporarily blocked, abortion available",6,19100,141500,48.95561358,562700,0.12,0.64,0.2,0.64,No,No,No,No,No,18.1,0.282
