State,County,Poverty Estimate,Poverty Percent
New York,Cayuga,"8,481",11.7
New York,Chautauqua,"17,909",14.8
New York,Chemung,"11,438",14.5
New York,Chenango,"5,283",11.5
New York,Clinton,"8,188",11.1
New York,Columbia,"5,961",10.2
New York,Cortland,"5,086",11.7
New York,Delaware,"5,345",12.8
New York,Dutchess,"22,960",8.3
New York,Erie,"117,938",13.2
New York,Essex,"3,565",10.2
New York,Franklin,"7,016",15.9
New York,Fulton,"7,184",13.9
New York,Genesee,"5,631",10.2
New York,Greene,"4,961",11.2
New York,Hamilton,378,8.7
New York,Herkimer,"7,192",12.1
New York,Jefferson,"13,411",13.1
New York,Kings,"446,856",17.8
New York,Lewis,"2,942",11.4
New York,Livingston,"5,828",10.3
New York,Madison,"6,878",10.4
New York,Monroe,"100,122",13.9
New York,Montgomery,"5,735",11.9
New York,Nassau,"75,628",5.7
New York,New York,"255,059",16.3
New York,Niagara,"23,934",11.7
New York,Oneida,"26,660",12.4
New York,Onondaga,"56,835",12.8
New York,Ontario,"9,389",8.8
New York,Orange,"39,859",10.6
New York,Orleans,"4,978",13.2
New York,Oswego,"15,935",14.2
New York,Otsego,"6,914",12.8
New York,Putnam,"5,516",5.7
New York,Queens,"226,286",10.3
New York,Rensselaer,"15,925",10.4
New York,Richmond,"49,625",10.6
New York,Rockland,"46,407",14.4
New York,St. Lawrence,"14,263",14.7
New York,Saratoga,"14,249",6.3
New York,Schenectady,"16,562",10.9
New York,Schoharie,"3,281",11.0
New York,Schuyler,"2,055",11.8
New York,Seneca,"3,802",12.1
New York,Steuben,"11,291",12.1
New York,Suffolk,"87,692",6.1
New York,Sullivan,"9,364",12.7
New York,Tioga,"4,420",9.3
New York,Tompkins,"10,927",12.4
New York,Ulster,"21,559",12.7
New York,Warren,"5,614",8.9
New York,Washington,"6,426",11.2
New York,Wayne,"8,589",9.7
New York,Westchester,"71,781",7.6
New York,Wyoming,"3,481",9.6
New York,Yates,"3,022",12.9
North Carolina,Alamance,"24,978",15.1
North Carolina,Alexander,"4,248",11.8
North Carolina,Alleghany,"2,004",18.1
North Carolina,Anson,"4,692",20.7
North Carolina,Ashe,"3,913",14.5
North Carolina,Avery,"2,398",15.8
North Carolina,Beaufort,"8,434",18.1
North Carolina,Bertie,"3,916",22.8
North Carolina,Bladen,"7,045",21.6
North Carolina,Brunswick,"16,628",11.2
North Carolina,Buncombe,"35,693",13.9
North Carolina,Burke,"16,166",18.4
North Carolina,Cabarrus,"17,543",8.0
North Carolina,Caldwell,"10,557",13.0
North Carolina,Camden,806,7.4
North Carolina,Carteret,"6,394",9.3
North Carolina,Caswell,"3,287",15.4
North Carolina,Catawba,"18,349",11.6
North Carolina,Chatham,"7,186",9.6
North Carolina,Cherokee,"4,337",15.1
North Carolina,Chowan,"2,350",17.3
North Carolina,Clay,"1,862",16.4
North Carolina,Cleveland,"14,524",15.0
North Carolina,Columbus,"11,012",21.3
North Carolina,Craven,"12,681",13.2
North Carolina,Cumberland,"58,933",18.5
North Carolina,Currituck,"2,772",9.6
North Carolina,Dare,"3,262",8.8
North Carolina,Davidson,"20,044",12.0
North Carolina,Davie,"4,121",9.6
North Carolina,Duplin,"10,643",18.3
North Carolina,Durham,"36,583",11.7
North Carolina,Edgecombe,"12,004",24.1
North Carolina,Forsyth,"48,382",13.0
North Carolina,Franklin,"8,429",12.0
North Carolina,Gaston,"26,261",11.8
North Carolina,Gates,"1,503",13.2
North Carolina,Graham,"1,382",16.6
North Carolina,Granville,"8,601",15.0
North Carolina,Greene,"3,924",21.3
North Carolina,Guilford,"69,163",13.3
North Carolina,Halifax,"11,495",23.9
North Carolina,Harnett,"19,195",14.4
North Carolina,Haywood,"8,503",13.6
North Carolina,Henderson,"12,915",11.0
North Carolina,Hertford,"4,279",20.7
North Carolina,Hoke,"8,207",15.0
North Carolina,Hyde,855,20.0
North Carolina,Iredell,"17,955",9.7
North Carolina,Jackson,"6,603",16.6
North Carolina,Johnston,"24,359",11.4
North Carolina,Jones,"1,669",18.3
North Carolina,Lee,"9,411",15.4
North Carolina,Lenoir,"9,459",17.2
North Carolina,Lincoln,"10,351",11.9
North Carolina,McDowell,"6,759",15.2
North Carolina,Macon,"4,600",12.9
North Carolina,Madison,"2,917",14.0
North Carolina,Martin,"4,424",20.1
North Carolina,Mecklenburg,"122,098",11.0
North Carolina,Mitchell,"2,052",14.0
North Carolina,Montgomery,"4,200",16.0
North Carolina,Moore,"9,555",9.3
North Carolina,Nash,"13,775",14.9
North Carolina,New Hanover,"23,331",10.2
North Carolina,Northampton,"4,046",21.7
North Carolina,Onslow,"22,293",12.5
North Carolina,Orange,"14,297",10.3
North Carolina,Pamlico,"1,759",14.7
North Carolina,Pasquotank,"5,364",14.0
North Carolina,Pender,"7,830",12.3
North Carolina,Perquimans,"1,959",14.4
North Carolina,Person,"5,310",13.5
North Carolina,Pitt,"30,096",17.1
North Carolina,Polk,"2,492",12.0
North Carolina,Randolph,"20,279",14.2
North Carolina,Richmond,"9,339",21.5
North Carolina,Robeson,"33,424",26.6
North Carolina,Rockingham,"12,458",13.8
North Carolina,Rowan,"19,964",14.4
North Carolina,Rutherford,"12,614",19.1
North Carolina,Sampson,"13,195",21.2
North Carolina,Scotland,"9,506",29.7
North Carolina,Stanly,"8,859",14.5
North Carolina,Stokes,"5,467",12.1
North Carolina,Surry,"10,915",15.4
North Carolina,Swain,"1,931",13.9
North Carolina,Transylvania,"4,250",12.6
North Carolina,Tyrrell,701,20.8
North Carolina,Union,"16,946",7.0
North Carolina,Vance,"9,382",21.3
North Carolina,Wake,"82,129",7.4
North Carolina,Warren,"4,242",22.8
North Carolina,Washington,"2,752",24.3
North Carolina,Watauga,"8,022",15.8
North Carolina,Wayne,"18,039",14.9
North Carolina,Wilkes,"9,671",14.4
North Carolina,Wilson,"16,994",21.2
North Carolina,Yadkin,"4,509",12.1
North Carolina,Yancey,"2,677",14.9
North Dakota,Adams,232,10.8
North Dakota,Barnes,975,9.9
North Dakota,Benson,"1,627",24.2
North Dakota,Billings,89,10.0
North Dakota,Bottineau,587,9.7
North Dakota,Bowman,261,8.9
North Dakota,Burke,166,7.9
North Dakota,Burleigh,"7,934",8.6
North Dakota,Cass,"17,324",9.7
North Dakota,Cavalier,308,8.5
North Dakota,Dickey,460,10.2
North Dakota,Divide,237,10.7
North Dakota,Dunn,442,10.0
North Dakota,Eddy,236,11.2
North Dakota,Emmons,430,13.7
North Dakota,Foster,247,7.9
North Dakota,Golden Valley,185,11.0
North Dakota,Grand Forks,"8,467",12.7
North Dakota,Grant,297,13.5
North Dakota,Griggs,208,9.6
North Dakota,Hettinger,267,11.6
North Dakota,Kidder,332,13.5
North Dakota,LaMoure,434,10.9
North Dakota,Logan,265,14.5
North Dakota,McHenry,677,12.0
North Dakota,McIntosh,287,12.2
North Dakota,McKenzie,"1,130",7.5
North Dakota,McLean,782,8.4
North Dakota,Mercer,646,8.0
North Dakota,Morton,"2,565",8.3
North Dakota,Mountrail,"1,150",11.0
North Dakota,Nelson,265,9.8
North Dakota,Oliver,206,10.7
North Dakota,Pembina,496,7.6
North Dakota,Pierce,406,11.0
North Dakota,Ramsey,"1,335",12.2
North Dakota,Ransom,464,9.3
North Dakota,Renville,171,7.7
North Dakota,Richland,"1,441",9.4
North Dakota,Rolette,"2,983",21.3
North Dakota,Sargent,287,7.4
North Dakota,Sheridan,211,16.6
North Dakota,Sioux,"1,158",28.3
North Dakota,Slope,101,13.5
North Dakota,Stark,"3,145",10.0
North Dakota,Steele,148,7.9
North Dakota,Stutsman,"2,007",10.6
North Dakota,Towner,203,9.8
North Dakota,Traill,533,7.0
North Dakota,Walsh,"1,084",10.6
North Dakota,Ward,"5,829",8.9
North Dakota,Wells,396,10.9
North Dakota,Williams,"3,665",9.6
Ohio,Adams,"5,592",20.6
Ohio,Allen,"12,387",12.9
Ohio,Ashland,"5,835",11.4
Ohio,Ashtabula,"15,354",16.5
Ohio,Athens,"12,301",22.0
Ohio,Auglaize,"2,637",5.9
Ohio,Belmont,"7,893",12.7
Ohio,Brown,"5,805",13.6
Ohio,Butler,"37,769",10.1
Ohio,Carroll,"3,061",11.6
Ohio,Champaign,"3,839",10.1
Ohio,Clark,"18,577",14.3
Ohio,Clermont,"18,827",9.2
Ohio,Clinton,"4,611",11.3
Ohio,Columbiana,"13,512",13.9
Ohio,Coshocton,"5,343",14.9
Ohio,Crawford,"4,895",12.1
Ohio,Cuyahoga,"183,748",15.3
Ohio,Darke,"5,158",10.2
Ohio,Defiance,"3,132",8.5
Ohio,Delaware,"7,876",3.7
Ohio,Erie,"7,837",10.9
Ohio,Fairfield,"11,809",7.5
Ohio,Fayette,"3,859",13.8
Ohio,Franklin,"199,428",15.4
Ohio,Fulton,"3,422",8.3
Ohio,Gallia,"4,646",16.1
Ohio,Geauga,"5,752",6.2
Ohio,Greene,"14,570",9.0
Ohio,Guernsey,"5,185",13.5
Ohio,Hamilton,"101,099",12.7
Ohio,Hancock,"6,868",9.3
Ohio,Hardin,"4,448",15.1
Ohio,Harrison,"2,019",13.7
Ohio,Henry,"2,121",8.0
Ohio,Highland,"6,357",14.9
Ohio,Hocking,"4,081",14.7
Ohio,Holmes,"3,612",8.4
Ohio,Huron,"5,618",9.8
Ohio,Jackson,"5,095",15.9
Ohio,Jefferson,"9,593",15.3
Ohio,Knox,"6,440",10.9
Ohio,Lake,"17,854",7.9
Ohio,Lawrence,"11,521",19.8
Ohio,Licking,"17,039",9.8
Ohio,Logan,"4,513",10.1
Ohio,Lorain,"36,055",11.9
Ohio,Lucas,"73,336",17.5
Ohio,Madison,"3,795",9.5
Ohio,Mahoning,"34,336",15.8
Ohio,Marion,"8,471",14.3
Ohio,Medina,"10,598",5.9
Ohio,Meigs,"4,215",18.8
Ohio,Mercer,"2,240",5.5
Ohio,Miami,"8,534",8.0
Ohio,Monroe,"1,950",14.6
Ohio,Montgomery,"75,773",14.7
Ohio,Morgan,"2,104",15.0
Ohio,Morrow,"3,137",9.0
Ohio,Muskingum,"12,643",15.0
Ohio,Noble,"1,753",15.0
Ohio,Ottawa,"3,049",7.7
Ohio,Paulding,"1,727",9.3
Ohio,Perry,"4,683",13.1
Ohio,Pickaway,"6,746",12.5
Ohio,Pike,"4,724",17.4
Ohio,Portage,"15,339",9.9
Ohio,Preble,"3,546",8.8
Ohio,Putnam,"2,174",6.5
Ohio,Richland,"14,459",12.7
Ohio,Ross,"10,636",15.0
Ohio,Sandusky,"5,942",10.4
Ohio,Scioto,"16,161",22.8
Ohio,Seneca,"5,449",10.4
Ohio,Shelby,"4,417",9.3
Ohio,Stark,"47,524",13.2
Ohio,Summit,"64,333",12.1
Ohio,Trumbull,"30,489",15.8
Ohio,Tuscarawas,"10,438",11.6
Ohio,Union,"2,893",5.0
Ohio,Van Wert,"2,045",7.4
Ohio,Vinton,"2,066",16.1
Ohio,Warren,"12,124",5.2
Ohio,Washington,"7,772",13.4
Ohio,Wayne,"10,127",9.0
Ohio,Williams,"3,667",10.3
Ohio,Wood,"12,315",9.9
Ohio,Wyandot,"1,500",7.0
Oklahoma,Adair,"4,858",22.3
Oklahoma,Alfalfa,730,15.7
Oklahoma,Atoka,"2,442",18.6
Oklahoma,Beaver,565,11.0
Oklahoma,Beckham,"3,667",18.8
Oklahoma,Blaine,"1,350",14.5
Oklahoma,Bryan,"7,577",15.9
Oklahoma,Caddo,"4,874",18.3
Oklahoma,Canadian,"11,342",7.6
Oklahoma,Carter,"8,986",19.0
Oklahoma,Cherokee,"9,256",19.6
Oklahoma,Choctaw,"2,807",19.5
Oklahoma,Cimarron,323,15.1
Oklahoma,Cleveland,"29,765",10.8
Oklahoma,Coal,"1,064",19.3
Oklahoma,Comanche,"17,465",15.8
Oklahoma,Cotton,975,17.4
Oklahoma,Craig,"2,350",17.5
Oklahoma,Creek,"9,089",12.9
Oklahoma,Custer,"3,470",12.8
Oklahoma,Delaware,"7,716",18.1
Oklahoma,Dewey,500,10.6
Oklahoma,Ellis,424,11.2
Oklahoma,Garfield,"7,015",11.8
Oklahoma,Garvin,"4,557",16.7
Oklahoma,Grady,"6,587",12.0
Oklahoma,Grant,500,11.7
Oklahoma,Greer,"1,048",22.9
Oklahoma,Harmon,570,23.3
Oklahoma,Harper,373,10.5
Oklahoma,Haskell,"2,432",19.4
Oklahoma,Hughes,"2,483",21.4
Oklahoma,Jackson,"3,532",15.0
Oklahoma,Jefferson,"1,030",17.8
Oklahoma,Johnston,"1,921",18.3
Oklahoma,Kay,"6,451",15.3
Oklahoma,Kingfisher,"1,406",9.0
Oklahoma,Kiowa,"1,541",18.0
Oklahoma,Latimer,"1,518",15.9
Oklahoma,Le Flore,"8,753",18.1
Oklahoma,Lincoln,"4,783",13.8
Oklahoma,Logan,"5,152",11.0
Oklahoma,Love,"1,188",11.7
Oklahoma,McClain,"4,280",10.4
Oklahoma,McCurtain,"6,106",18.9
Oklahoma,McIntosh,"4,345",22.5
Oklahoma,Major,857,11.5
Oklahoma,Marshall,"2,308",13.7
Oklahoma,Mayes,"6,873",16.9
Oklahoma,Murray,"1,943",14.3
Oklahoma,Muskogee,"11,626",18.2
Oklahoma,Noble,"1,298",11.8
Oklahoma,Nowata,"1,635",16.5
Oklahoma,Okfuskee,"2,333",21.7
Oklahoma,Oklahoma,"119,595",15.2
Oklahoma,Okmulgee,"5,361",14.6
Oklahoma,Osage,"5,864",13.0
Oklahoma,Ottawa,"5,522",18.5
Oklahoma,Pawnee,"2,539",15.7
Oklahoma,Payne,"14,878",20.1
Oklahoma,Pittsburg,"6,809",16.5
Oklahoma,Pontotoc,"5,279",14.4
Oklahoma,Pottawatomie,"11,168",16.0
Oklahoma,Pushmataha,"1,882",17.4
Oklahoma,Roger Mills,479,13.5
Oklahoma,Rogers,"7,784",8.5
Oklahoma,Seminole,"4,996",21.2
Oklahoma,Sequoyah,"6,936",16.9
Oklahoma,Stephens,"7,502",17.7
Oklahoma,Texas,"2,150",11.1
Oklahoma,Tillman,"1,519",21.9
Oklahoma,Tulsa,"82,694",12.8
Oklahoma,Wagoner,"8,393",10.2
Oklahoma,Washington,"7,596",14.8
Oklahoma,Washita,"1,557",14.7
Oklahoma,Woods,"1,155",15.1
Oklahoma,Woodward,"2,470",13.3
Oregon,Baker,"2,308",14.5
Oregon,Benton,"13,731",15.7
Oregon,Clackamas,"28,451",6.8
Oregon,Clatsop,"4,200",10.5
Oregon,Columbia,"4,825",9.2
Oregon,Coos,"9,796",15.4
Oregon,Crook,"2,564",10.3
Oregon,Curry,"3,353",14.5
Oregon,Deschutes,"16,321",8.1
Oregon,Douglas,"14,607",13.3
Oregon,Gilliam,209,10.7
Oregon,Grant,987,13.9
Oregon,Harney,906,12.6
Oregon,Hood River,"1,948",8.5
Oregon,Jackson,"26,011",11.9
Oregon,Jefferson,"2,993",12.5
Oregon,Josephine,"13,747",15.8
Oregon,Klamath,"13,307",19.7
Oregon,Lake,"1,179",15.7
Oregon,Lane,"54,433",14.5
Oregon,Lincoln,"7,177",14.4
Oregon,Linn,"14,667",11.3
Oregon,Malheur,"5,396",19.5
Oregon,Marion,"41,191",12.1
Oregon,Morrow,"1,337",11.5
Oregon,Multnomah,"89,646",11.2
Oregon,Polk,"9,497",11.1
Oregon,Sherman,213,11.9
Oregon,Tillamook,"2,920",10.8
Oregon,Umatilla,"8,605",11.7
Oregon,Union,"3,250",12.6
Oregon,Wallowa,821,11.6
Oregon,Wasco,"3,195",12.4
Oregon,Washington,"45,009",7.5
Oregon,Wheeler,191,14.0
Oregon,Yamhill,"8,952",8.7
Pennsylvania,Adams,"7,867",8.0
Pennsylvania,Allegheny,"123,280",10.5
Pennsylvania,Armstrong,"7,391",11.7
Pennsylvania,Beaver,"14,568",9.1
Pennsylvania,Bedford,"5,177",11.0
Pennsylvania,Berks,"44,744",10.9
Pennsylvania,Blair,"13,608",11.6
Pennsylvania,Bradford,"6,364",10.7
Pennsylvania,Bucks,"36,950",6.0
Pennsylvania,Butler,"13,624",7.4
Pennsylvania,Cambria,"15,360",12.5
Pennsylvania,Cameron,574,13.5
Pennsylvania,Carbon,"7,168",11.3
Pennsylvania,Centre,"18,339",12.9
Pennsylvania,Chester,"26,903",5.2
Pennsylvania,Clarion,"4,689",12.8
Pennsylvania,Clearfield,"10,386",14.3
Pennsylvania,Clinton,"4,835",13.4
Pennsylvania,Columbia,"7,149",11.7
Pennsylvania,Crawford,"10,190",12.7
Pennsylvania,Cumberland,"18,630",7.6
Pennsylvania,Dauphin,"31,903",11.6
Pennsylvania,Delaware,"50,715",9.3
Pennsylvania,Elk,"2,426",8.3
Pennsylvania,Erie,"34,469",13.4
Pennsylvania,Fayette,"23,301",18.7
Pennsylvania,Forest,"1,037",22.9
Pennsylvania,Franklin,"14,354",9.4
Pennsylvania,Fulton,"1,516",10.6
Pennsylvania,Greene,"4,154",12.7
Pennsylvania,Huntingdon,"4,234",10.7
Pennsylvania,Indiana,"10,570",13.4
Pennsylvania,Jefferson,"4,669",11.0
Pennsylvania,Juniata,"2,423",10.0
Pennsylvania,Lackawanna,"24,549",12.2
Pennsylvania,Lancaster,"40,963",7.7
Pennsylvania,Lawrence,"10,676",12.9
Pennsylvania,Lebanon,"12,360",9.0
Pennsylvania,Lehigh,"42,385",11.7
Pennsylvania,Luzerne,"46,287",15.1
Pennsylvania,Lycoming,"14,273",13.2
Pennsylvania,Mc Kean,"5,187",13.9
Pennsylvania,Mercer,"12,677",12.4
Pennsylvania,Mifflin,"5,992",13.2
Pennsylvania,Monroe,"17,353",10.5
Pennsylvania,Montgomery,"45,874",5.6
Pennsylvania,Montour,"1,551",9.0
Pennsylvania,Northampton,"22,304",7.6
Pennsylvania,Northumberland,"10,489",12.1
Pennsylvania,Perry,"3,858",8.5
Pennsylvania,Philadelphia,"296,836",19.4
Pennsylvania,Pike,"5,143",9.3
Pennsylvania,Potter,"1,977",12.2
Pennsylvania,Schuylkill,"16,956",12.7
Pennsylvania,Snyder,"3,797",10.1
Pennsylvania,Somerset,"7,952",11.7
Pennsylvania,Sullivan,708,12.3
Pennsylvania,Susquehanna,"4,580",11.6
Pennsylvania,Tioga,"4,493",11.5
Pennsylvania,Union,"3,997",11.1
Pennsylvania,Venango,"6,886",14.0
Pennsylvania,Warren,"4,232",11.1
Pennsylvania,Washington,"17,444",8.6
Pennsylvania,Wayne,"4,997",10.5
Pennsylvania,Westmoreland,"31,545",9.3
Pennsylvania,Wyoming,"2,697",10.4
Pennsylvania,York,"31,392",7.1
Rhode Island,Bristol,"3,747",8.2
Rhode Island,Kent,"12,295",7.5
Rhode Island,Newport,"7,413",9.5
Rhode Island,Providence,"75,510",12.4
Rhode Island,Washington,"9,341",7.8
South Carolina,Abbeville,"3,628",15.3
South Carolina,Aiken,"22,201",13.0
South Carolina,Allendale,"2,342",31.6
South Carolina,Anderson,"28,177",14.0
South Carolina,Bamberg,"2,766",21.0
South Carolina,Barnwell,"4,418",21.6
South Carolina,Beaufort,"18,245",9.6
South Carolina,Berkeley,"25,655",11.1
South Carolina,Calhoun,"2,240",15.5
South Carolina,Charleston,"48,326",11.9
South Carolina,Cherokee,"8,181",14.6
South Carolina,Chester,"5,859",18.3
South Carolina,Chesterfield,"8,879",19.7
South Carolina,Clarendon,"5,901",18.4
South Carolina,Colleton,"7,437",20.1
South Carolina,Darlington,"12,327",18.9
South Carolina,Dillon,"6,636",22.2
South Carolina,Dorchester,"19,791",12.1
South Carolina,Edgefield,"4,161",16.8
South Carolina,Fairfield,"3,820",17.6
South Carolina,Florence,"23,016",17.1
South Carolina,Georgetown,"9,475",15.1
South Carolina,Greenville,"63,371",12.1
South Carolina,Greenwood,"11,250",16.4
South Carolina,Hampton,"3,486",19.6
South Carolina,Horry,"46,156",12.8
South Carolina,Jasper,"5,584",18.4
South Carolina,Kershaw,"9,620",14.4
South Carolina,Lancaster,"11,249",11.4
South Carolina,Laurens,"12,132",18.4
South Carolina,Lee,"3,470",23.0
South Carolina,Lexington,"31,262",10.4
South Carolina,McCormick,"1,443",17.0
South Carolina,Marion,"6,516",21.8
South Carolina,Marlboro,"6,001",26.0
South Carolina,Newberry,"6,100",16.4
South Carolina,Oconee,"8,833",11.1
South Carolina,Orangeburg,"15,695",19.1
South Carolina,Pickens,"18,343",15.3
South Carolina,Richland,"62,651",16.0
South Carolina,Saluda,"3,495",17.4
South Carolina,Spartanburg,"45,129",14.2
South Carolina,Sumter,"21,301",20.5
South Carolina,Union,"3,949",14.9
South Carolina,Williamsburg,"7,341",25.4
South Carolina,York,"25,145",8.8
South Dakota,Aurora,268,10.2
South Dakota,Beadle,"2,291",12.6
South Dakota,Bennett,952,28.3
South Dakota,Bon Homme,812,15.0
South Dakota,Brookings,"3,186",9.9
South Dakota,Brown,"3,399",9.1
South Dakota,Brule,706,13.7
South Dakota,Buffalo,638,32.8
South Dakota,Butte,"1,307",12.5
South Dakota,Campbell,148,10.7
South Dakota,Charles Mix,"2,128",24.0
South Dakota,Clark,442,12.3
South Dakota,Clay,"1,962",16.2
South Dakota,Codington,"2,499",9.0
South Dakota,Corson,"1,492",37.1
South Dakota,Custer,847,9.7
South Dakota,Davison,"2,032",10.7
South Dakota,Day,672,12.9
South Dakota,Deuel,408,9.5
South Dakota,Dewey,"1,436",24.9
South Dakota,Douglas,329,11.8
South Dakota,Edmunds,446,12.2
South Dakota,Fall River,"1,002",15.4
South Dakota,Faulk,402,18.7
South Dakota,Grant,649,9.3
South Dakota,Gregory,630,15.1
South Dakota,Haakon,213,11.7
South Dakota,Hamlin,537,8.9
South Dakota,Hand,281,9.1
South Dakota,Hanson,350,10.4
South Dakota,Harding,142,11.0
South Dakota,Hughes,"1,562",9.4
South Dakota,Hutchinson,873,12.8
South Dakota,Hyde,143,11.5
South Dakota,Jackson,944,28.7
South Dakota,Jerauld,276,14.4
South Dakota,Jones,139,14.9
South Dakota,Kingsbury,498,10.2
South Dakota,Lake,"1,173",9.9
South Dakota,Lawrence,"2,918",11.5
South Dakota,Lincoln,"2,831",4.5
South Dakota,Lyman,896,23.9
South Dakota,McCook,511,9.6
South Dakota,McPherson,407,18.4
South Dakota,Marshall,624,13.2
South Dakota,Meade,"2,416",8.7
South Dakota,Mellette,608,29.9
South Dakota,Miner,271,12.6
South Dakota,Minnehaha,"15,537",8.1
South Dakota,Moody,602,9.4
South Dakota,Oglala Lakota,"5,338",38.1
South Dakota,Pennington,"13,734",12.1
South Dakota,Perkins,430,15.4
South Dakota,Potter,196,9.4
South Dakota,Roberts,"1,803",17.8
South Dakota,Sanborn,307,13.7
South Dakota,Spink,775,12.8
South Dakota,Stanley,233,7.5
South Dakota,Sully,109,7.8
South Dakota,Todd,"4,360",42.5
South Dakota,Tripp,"1,014",19.3
South Dakota,Turner,724,8.8
South Dakota,Union,955,5.9
South Dakota,Walworth,774,15.0
South Dakota,Yankton,"2,153",10.4
South Dakota,Ziebach,"1,166",43.9
Tennessee,Anderson,"10,155",13.3
Tennessee,Bedford,"6,417",13.0
Tennessee,Benton,"2,675",16.9
Tennessee,Bledsoe,"2,588",20.8
Tennessee,Blount,"12,219",9.2
Tennessee,Bradley,"14,675",13.8
Tennessee,Campbell,"7,807",20.0
Tennessee,Cannon,"1,954",13.3
Tennessee,Carroll,"4,417",16.7
Tennessee,Carter,"8,877",16.1
Tennessee,Cheatham,"3,523",8.7
Tennessee,Chester,"2,463",15.2
Tennessee,Claiborne,"5,779",18.9
Tennessee,Clay,"1,586",21.0
Tennessee,Cocke,"7,044",19.7
Tennessee,Coffee,"7,811",13.8
Tennessee,Crockett,"2,115",15.2
Tennessee,Cumberland,"7,274",12.0
Tennessee,Davidson,"85,618",12.8
Tennessee,Decatur,"1,936",17.1
Tennessee,DeKalb,"3,591",17.5
Tennessee,Dickson,"5,916",11.0
Tennessee,Dyer,"6,022",16.7
Tennessee,Fayette,"4,210",10.2
Tennessee,Fentress,"3,568",19.4
Tennessee,Franklin,"5,596",13.9
Tennessee,Gibson,"6,397",13.4
Tennessee,Giles,"3,606",12.5
Tennessee,Grainger,"3,321",14.2
Tennessee,Greene,"11,156",16.4
Tennessee,Grundy,"2,407",18.2
Tennessee,Hamblen,"9,561",15.0
Tennessee,Hamilton,"48,007",13.3
Tennessee,Hancock,"1,808",28.6
Tennessee,Hardeman,"4,612",22.0
Tennessee,Hardin,"3,736",14.8
Tennessee,Hawkins,"8,674",15.5
Tennessee,Haywood,"3,133",18.7
Tennessee,Henderson,"4,034",14.6
Tennessee,Henry,"5,583",17.8
Tennessee,Hickman,"3,439",14.4
Tennessee,Houston,"1,266",15.6
Tennessee,Humphreys,"2,528",13.9
Tennessee,Jackson,"1,950",16.8
Tennessee,Jefferson,"6,948",12.9
Tennessee,Johnson,"3,005",18.6
Tennessee,Knox,"50,345",10.9
Tennessee,Lake,"1,725",36.4
Tennessee,Lauderdale,"4,595",19.8
Tennessee,Lawrence,"6,651",15.2
Tennessee,Lewis,"1,741",14.3
Tennessee,Lincoln,"4,239",12.4
Tennessee,Loudon,"5,736",10.6
Tennessee,McMinn,"7,439",14.0
Tennessee,McNairy,"3,792",15.0
Tennessee,Macon,"4,069",16.7
Tennessee,Madison,"20,847",22.2
Tennessee,Marion,"4,186",14.7
Tennessee,Marshall,"4,194",12.1
Tennessee,Maury,"9,763",9.9
Tennessee,Meigs,"1,978",16.0
Tennessee,Monroe,"6,396",13.8
Tennessee,Montgomery,"22,576",10.8
Tennessee,Moore,620,9.8
Tennessee,Morgan,"3,598",18.8
Tennessee,Obion,"4,483",15.1
Tennessee,Overton,"3,611",16.3
Tennessee,Perry,"1,281",16.1
Tennessee,Pickett,822,16.5
Tennessee,Polk,"2,044",12.4
Tennessee,Putnam,"13,250",17.0
Tennessee,Rhea,"4,855",15.0
Tennessee,Roane,"7,178",13.5
Tennessee,Robertson,"6,546",9.2
Tennessee,Rutherford,"29,418",8.8
Tennessee,Scott,"4,292",19.8
Tennessee,Sequatchie,"2,402",16.1
Tennessee,Sevier,"13,485",13.8
Tennessee,Shelby,"174,664",19.1
Tennessee,Smith,"2,336",11.7
Tennessee,Stewart,"1,798",13.2
Tennessee,Sullivan,"21,301",13.6
Tennessee,Sumner,"18,595",9.6
Tennessee,Tipton,"7,698",12.7
Tennessee,Trousdale,"1,361",15.4
Tennessee,Unicoi,"2,812",16.2
Tennessee,Union,"3,363",16.9
Tennessee,Van Buren,931,16.1
Tennessee,Warren,"6,761",16.5
Tennessee,Washington,"16,625",13.2
Tennessee,Wayne,"2,883",20.2
Tennessee,Weakley,"5,328",16.9
Tennessee,White,"3,753",13.8
Tennessee,Williamson,"10,080",4.1
Tennessee,Wilson,"11,645",8.0
Texas,Anderson,"9,242",20.9
Texas,Andrews,"1,722",9.2
Texas,Angelina,"14,330",17.0
Texas,Aransas,"3,986",17.1
Texas,Archer,596,6.9
Texas,Armstrong,169,9.3
Texas,Atascosa,"7,618",14.9
Texas,Austin,"3,378",11.4
Texas,Bailey,945,14.4
Texas,Bandera,"2,588",11.0
Texas,Bastrop,"9,596",10.8
Texas,Baylor,526,15.3
Texas,Bee,"5,685",23.1
Texas,Bell,"52,839",14.7
Texas,Bexar,"297,131",15.0
Texas,Blanco,"1,199",9.8
Texas,Borden,53,7.5
Texas,Bosque,"2,280",12.5
Texas,Bowie,"15,191",17.4
Texas,Brazoria,"30,696",8.3
Texas,Brazos,"48,484",22.3
Texas,Brewster,"1,282",14.0
Texas,Briscoe,199,13.4
Texas,Brooks,"1,978",28.7
Texas,Brown,"5,642",15.6
Texas,Burleson,"2,398",13.1
Texas,Burnet,"4,598",9.5
Texas,Caldwell,"5,373",12.7
Texas,Calhoun,"2,565",12.4
Texas,Callahan,"1,698",12.2
Texas,Cameron,"102,649",24.4
Texas,Camp,"2,167",16.7
